handle,text,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
Southwest,@SouthwestAir you guys held our flight #330!  Thank you!!!  About to take off from MDW now to Oakland.  Thanks,2,0,1,2,1,1,0,0,2,0
United,"@united Also, your phone customer service is almost useless. http://t.co/Mb3bJwGOAp",2,0,1,2,0,0,0,0,0,1
American,"@AmericanAir @RobertDwyer AA doesnt charge any fees to change award tickets as long as the origin, destination &amp; award type remains the same",2,0,2,1,1,0,1,0,1,0
American,@AmericanAir Absolutely!,0,0,0,0,0,0,0,0,0,0
Delta,@JetBlue thanks!!,3,0,0,3,0,0,0,0,0,0
US Airways,@USAirways That's not the question. Question is: how do I get past the computer fastest if we both know that the computer can't help me?,1,0,1,1,0,0,0,0,0,2
American,@AmericanAir do you know if there is wifi on this flight? If so how much is it? Thank you :-),1,0,0,1,0,0,0,0,1,2
Delta,@JetBlue so you guys lost my bag that had all my ski gear in it. I flew here from NYC to ski. Should I buy new stuff tomorrow? ...,2,0,2,1,0,0,0,2,0,0
Delta,@JetBlue was just at T5 a little over a month ago. @JetBlue you guys are great thanks for everything!,3,0,0,3,0,0,3,0,2,0
United,@united I believe just customer service. At last post he was at Narita in Tokyo. They sent him to a motel to rest. Said standby maybe 2days,2,0,1,2,0,0,1,0,0,0
United,@united customer service 👎,2,0,1,2,0,0,0,0,0,0
American,@AmericanAir still no response from AA. great job guys!,2,0,0,2,0,0,0,0,0,1
American,"@AmericanAir travel week, delays, Cancelled Flightlations, ""if you want to learn more about the merger press 1"", delay my connector in Chicago #deice",2,0,1,2,1,2,1,0,1,1
United,@united doesn't help the 100 or more passengers that just arrived an hour Late Flight.,2,0,2,2,0,2,0,0,1,0
Delta,@JetBlue all day,2,0,2,2,1,2,0,0,1,0
US Airways,@USAirways why the hell will you not put us in a hotel when you've stranded us. Your message says mechanical issues not weather. #usairways,2,0,2,2,1,0,1,0,1,1
Southwest,@SouthwestAir wifi stays connected about the lifetime of a higgs boson,1,0,1,1,0,0,0,0,0,2
US Airways,"@USAirways right, can you use a shuttle ticket from LGA to BOS for any shuttle flight? Probably gonna miss the 4pm.",2,0,2,2,1,2,1,0,1,1
US Airways,@USAirways  Houston Gate 17 customer Service needs to treat people with respect. There are hardly people waiting! #chillpill #usairwaysfail,2,0,1,2,0,0,0,0,1,0
Delta,@JetBlue well I'm not sure I'm that bold! lol or are you saying you didn't believe me?? :P,2,0,1,2,0,0,0,0,0,0
American,@AmericanAir I let a crew member know every time this happens.  Which is most of the time.,2,0,2,2,0,0,0,0,1,0
US Airways,"@USAirways Thank you, busy times.",1,0,1,2,0,0,0,0,0,1
US Airways,@USAirways thank you for putting me on a flight that will be leaving Late Flightr than the original flight I was booked on.,2,0,1,2,2,2,2,0,2,0
United,@united yr team have me on hold for over an hour unhelpful Pls can you answer my question.,2,0,1,2,0,0,0,0,0,0
US Airways,"@USAirways US 728 Uh oh, no gate. Now truck will come to us.",2,0,2,2,0,0,0,0,1,1
Southwest,@SouthwestAir This has to be the best video I have seen ever! - #teamspirit https://t.co/X5JenA7NyE,2,0,0,1,0,0,0,0,0,1
United,"@united rude cust ser agents busy chatting, then yelled bc I took pic. Put me stdby when seat. Diff agent gave me seat 30min Late Flightr. Platinum",2,0,1,2,0,1,0,0,1,0
American,@AmericanAir hi how are you,0,0,0,0,0,0,0,0,0,0
Delta,@JetBlue you wanna help out? How about you reimburse the money you cause my band to lose.,2,0,1,2,0,0,1,0,0,0
American,@AmericanAir My flt AA375 for 02/23 got cncled and i cant get hold of a CSR so i can get alternate arrangement. Plz help,2,0,2,2,1,0,1,0,2,1
Virgin America,@virginamerica What is your phone number. I can't find who to call about a flight reservation.,2,0,1,1,0,0,1,0,1,2
Delta,@JetBlue well mine sure aren't anything to write home about!,1,0,0,1,0,0,0,0,0,1
Delta,@JetBlue no news here at the gate. What are my options?,2,0,1,1,0,0,1,0,1,1
American,"@AmericanAir I sure hope you all can fix @USAirways. Good luck, their service sucks. #nexttimeiwillflysouthwest",2,0,2,2,0,0,1,0,0,1
US Airways,@USAirways how do I get a hold of customer service? I've called multiple times &amp; have been on hold for 30+ mins only to have to hang up,2,0,1,2,0,0,0,0,0,1
Southwest,@SouthwestAir thanks for losing my luggage,2,0,2,2,0,0,0,2,0,0
Virgin America,"@VirginAmerica Beats EPS Views, Takes On #SouthwestAir VA LUV - Investor's Business Daily http://t.co/FLwmGDAHxu",1,0,0,1,0,0,0,0,0,0
Delta,@JetBlue lord...,1,0,1,2,0,0,0,0,0,0
