handle,text,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
United,@united time to give up my 1K status and switch to @Delta - you are so terrible I can't even describe.,2,3,2,0,2,2,2,2,3,3
Delta,@JetBlue I have the emails that they are on their way,2,2,0,3,1,1,2,0,2,3
American,"@AmericanAir @Delta Maybe? Long trip, Late Flight night &amp; queues at baggage claims in two terminals, no good. I thought I paid for it 50$ instead.",2,0,2,2,2,3,0,0,3,3
US Airways,@USAirways Why haven't you issued a travel advisory for Charlotte Wednesday night and Thursday? 4-6 inches of snow.,2,0,1,1,2,1,0,3,2,0
US Airways,@USAirways I've been waiting for the callback for EIGHT HOURS. HOW MUCH LONGER?!,3,2,2,3,3,1,0,3,0,2
Southwest,@SouthwestAir #delayed again! You're killing me Late Flightly!,1,2,1,2,0,2,3,1,3,0
Delta,@JetBlue at what point in delays can I take a different flight to my destination?,2,2,1,2,2,0,3,0,3,1
American,@AmericanAir really appreciate the great customer service... One of your service agents just hung up on me when asking legitimate questions,3,3,0,0,2,1,2,0,2,3
Virgin America,@VirginAmerica fav airline,2,0,3,1,1,0,0,0,1,0
Southwest,@SouthwestAir that's awesome! Love flying SWA!,0,0,0,1,2,2,3,3,2,1
US Airways,@USAirways had mom sit for 3 hours waiting for a flight they ultimately Cancelled Flighted to give her a Tuesday morning flight...no compensation. Ugh,3,2,0,2,2,0,2,2,3,0
Delta,@JetBlue this is not a flight delay this is horrible planning on Jet Blue!!! #jetblue,0,0,0,3,3,2,2,2,1,3
American,@AmericanAir it looks like a mistake,1,3,2,2,3,0,0,1,3,3
American,@AmericanAir I'm trying to choose my seats but every time I go to the next flight I get system error,3,3,2,1,0,0,0,0,0,1
US Airways,@USAirways now the freezing bus is just doing circles?,1,3,3,0,0,0,3,2,0,3
American,@AmericanAir Thanks! He is.,2,2,0,2,3,0,0,3,1,0
American,@AmericanAir have been in call cue for 11 hours. No call yet. Wife in cue for 9 hours.  Got a call but was hung up on.,1,1,2,1,2,0,0,1,1,0
United,"@united b) I contacted you directly, and the phone service was Laissez Faire at best.  The problem isn't a Cancelled Flightled a flight.",1,1,0,3,3,0,3,0,3,0
Southwest,"@southwestair Landed an hour Late Flight from IND to DEN, and 40+ min Late Flightr, our bags are not here. Not cool.",2,1,0,2,1,2,1,3,1,1
Southwest,@SouthwestAir @Imaginedragons #DestinationDragons Any tix to spare? I wanna go see the show on Friday in LA with my friend @HayleyMad!,3,1,2,2,3,3,0,2,1,3
United,"@united Your ""Loyalty Team"" basically flipped me off via phone, but thanks. Maybe Google ""loyalty"" and get back to me? ^LOL",3,3,0,3,1,3,0,0,1,2
Southwest,@SouthwestAir I figured the streaming wouldn't work per the TOS but just the @NASCAR site is taking longer than 5 minutes to load,1,0,3,0,2,0,0,0,3,0
United,@united thanks for ruined my vacation for having poorly maintained aircrafts that can’t fly safely out of STT. #UA1481 #Cancelled Flightledflight,2,3,3,1,3,1,0,1,3,1
Southwest,"@SouthwestAir that's gotta be a new record: 4 hrs in the air, 11 hrs waiting and 0 bags delivered to destination.",3,3,1,3,1,2,0,2,3,3
United,"@united all good, didn't die or anything. As they say ""you get what you pay for""!",3,3,3,2,0,0,3,2,1,0
United,"@united EWR ppl told me to call 1800#, have 2x/day since Monday. Still at layover loc. have that ref # tho. Any help appreciated.",3,0,1,2,1,0,1,3,0,2
